Reponse harmonique en Boucle fermee;;
;;
Frequence (Hz);Gain (db);Phase (degre)
200.000003;0.025615;-1.284075
400.000006;0.035856;-2.630475
600.000024;0.082594;-3.833325
800.000012;0.130625;-5.37165
1000;0.154736;-6.647485
1200.000048;0.229427;-8.188764
1399.999976;0.990508;-7.394822
1600.000024;4.086447;-56.245728
1800.000072;2.713511;-75.57756
2000;1.120524;-89.855019
2200.000048;-0.549747;-97.537125
2400.000095;-2.017621;-101.625984
2600.000143;-3.406479;-104.883926
2799.999952;-4.80796;-109.087257
3000;-6.529661;-115.057976
3200.000048;-7.766365;-115.21373
3400.000095;-8.774392;-117.169563
3600.000143;-9.360733;-115.155174
3799.999952;-10.128125;-117.48716
4000;-11.133965;-121.103439
4200.000286;-11.952667;-124.81945
4400.000095;-13.464702;-121.963364
4599.999905;-14.501199;-123.092232
4800.000191;-16.36297;-122.544739